N, L, Time (ns), Q, P, G
240, 896, 72636654, 1004941702779986651741316829979338784632762734830292771147012174753830941, 303509413499362355721874507008338738985645060391985239103759254687666948091561879688939625094719270365017411265433915808533102478490316486240105289523182289186684772701812020085540735272834903383239175519959936762733305408734016362636835748942691628892316619719497884243, 295925238829445320108271699680908531963884665981679816645651395849372117363803125028891355450215310520381330260459746376563660804521094861223602252766449993692665721934156080863134164468586266828272105130675663894598174446733123831009191179016282201590743905576147397681
256, 896, 71440460, 92307938128390565793654933046678860793065489952233953698767414934734244267687, 299627723091522139278287001231521979161818242728082661626720906324496598389580899371884994864153702036818659575908484392980551143880799993911711593302482261687551185322692595929300765501255084339183590289109091384645735475017829273139778121588022940651030204121545625547, 285223985905764598641495834444087010359218833317727743514931683746176738620206903231715244839292481748100588880331120631934307303611960136414309583494790541702473204997281441778332375792130848871763081272045448809858031082645710469412605486582474449543760044082210688461
16, 1024, 71135772, 45263, 147430126017702014095464030184394667468978027058512678142948628232235591093699268436394892559638113029200403898607974106376539743152466791601083900363319117528609107398969296719581058881658415852077314053901669947348766545852180730057346744235588533114816985515372254116330601491613273241651787210438539888791, 62972614729743251391899835006728810443085143114802577565450003168948902354615593011649924986300082763003943946177081475934097438463256365894800751239940933762971358598640721205856133080577653097065812054134933658632921205250184807667002402857008687315845748568089458659187138824605057906310733657728517345737
32, 1024, 76978206, 2500373339, 163618548055233361611805283229093830275116146263158001881730762909402965953540830517659685141238909898292898291799677253374740213042470690081074866381311322849070590313824791075707888790564756534024923408464955918914326887938066061552782561676873148380275443564762084589073112951906037207466320974574755390141, 104820900066189145322108065883101157787018817533509523821311389438983542061466227187142704509289063705307398243494893523936734693647472779708528204909385567264498530295981061632247574842259438540100292509429530681350537370145636623138777257772716396537070184956006242974283466085951512898055541755098310134348
48, 1024, 78121172, 183982931103899, 131792022720569289051749746713341050729304047459276198160586339809935137982320484798658037083027754104305341941298786269829991278962052793752427283629307778898866963458875780118481036131823277917853632742851519004753811570024837845341221842663732786465916391872127511233098938761659598607722957029953717694861, 126562302161914480550085867162517624818846803721201548233968210121550648747941198357234037808110997843694313727791594330773526131267912385366350943014264572923498815212294808191830284189154206605466601228553536365821105140135894912525832892693626934354253296404446638443827818639469231484880901725961529211425
64, 1024, 78519244, 15971345379658422967, 155970704190796405847998384839408105152766161037160022398412629282666699298568065201923053754038342368275591719258448953050476248559568300211059757529053792945754876995687620757508410787340159783384105632501465843529495911412538323068108243248647286758254323395152682714254413718598869430937704128298874464893, 24309336005396645651402171752928977850484331623592646625394109982348356299348397108156144950925048329420109618764743926809712526726533182776898609244734455377519126338281266295725853966736359376781287401997325465146406099069018146399422423930015215037940700804212961117903214828845877029597778576908175450683
80, 1024, 82175902, 743634632583468317351941, 130134910314910301260669390002280135206055670058149053949689036626223189752822755955992310789205560011393294834370807161843814912247089625579110971774507738843892926919119679840287844929972424693882083906715200716115175585075863648223213291281504353521615831276085931213972486089652716335496193632194612952859, 97326361937990644575479825453826424145301396163712652010836145648762182653924078573847805574247134400052573758521173163669604626919351090349497467113508944425119640446637053322502511336614111942275102129219431169353945329243029861871107090048693184557878484861849112127296886722573719485035413341530001322667
96, 1024, 82355954, 44816263506856338370623472123, 110970563087119116409516667385919858299334131799588133684815249826373630508584202978247835281063688658437948031021608625153955674317879401371066471474865389663497854283607201045933431971731513443618844807771138857803904605748596860450390207119708806430824812558173298114423700323298838370484601921353400220481, 28674180036424360667976600416662748680112619300962628277534135395040046699050694167702083393349581961299867664074044490183244433883107397130289192133339203688108767068874966255041432631869425989381900366065529443130307803846903354102093463177576183877183428938460760433388972454964232499748960152777680734131
112, 1024, 86459746, 3137768531727306540739563956975987, 120526221874029504900766586411359619750168986973216856796740641317729093798844247782019600224093370852481490763427301097650311921217771021706204949999841569572678972152977158315337467530214956475612064874178564680264237206383175757458086719590406039342266831412581328794090035916623298526706082089442640520869, 64519918959653833875216828749683605543395728180806337745064495029167013399991978665947825892725766983245479867693752209301082604054659885385429742642092911111964792423774247159167846368675221928969629790581640425656385123983677579500591341226788258740369840459919032113900197624471153333522545590125481877951
128, 1024, 84135376, 218862985808968293767086195352122848923, 95232520588244912730563974572273173471136817291835132138286106786463036795735053113303418591314788348586818016772921757518057750386576411766618745157288235120040911992645590528890550094925470697804115649165467088764166954523870178660136032535152133759576888973208672983202767002061192952967343552611752004223, 33824160364363031209020246237840862476156124714648000530737505098177114901566182301178533131888649298120822107464295648428668965940294444690272229768053723773257488177634026769297294045673986691083164356365256419800378284034795966376180300098029226742006786035752513373770998659217113912596115211872829092246
144, 1024, 90122549, 21469507706076411251928114829651562642951261, 117684455858659483769560103957096579478160139524962575730801883346554336123278958474061894778455011702633900190039788930677319545439073849764725294521183444131372789802181155891487974919900180388016194722713397477267516057459317241838293950729983055054074779080463572908825440123331728597382430546680121817889, 37979187709256896020462735986406052486823039918854216589437621644474611769750721639999446527102639107478932675254594144106807869126292720124293812076591640382752602169023386969101029466940899940942511755934064148427777587418220322603952178924858872756799625430091072606626380948935709084215282256869647106143
160, 1024, 88392190, 1237464410667112262635873833889882182613379011987, 92155993361785858192966729005263231226352067659905001463837602126724130238273590148917134644910486880595091166190993011846049200150231719309818239583480989098771967706900558263288170137712065843557288615510115688883499701287686783711643710800920471766907770580357010959032433947794389078890184095257285611507, 45623014816031506226634012857053492258835249049798438338566887203546701342697451871302195936374182977238323872404683808393811262404647707947763265675565009535265960860998116758947106099943983490746747141130717908161821777573822129893192028335048260808797723959542135264522900864039120716398702466422256665514
176, 1024, 94389363, 63827305275000634782406808410633101756517594416817319, 177608486688952936110157543775451117577569104739912885133812065734361775404136209615299935181727095553582751706101109376660430407427298862790867393125278197798085809541348453800700068933938344905529878241207201182728062439834670214905192431296721362567617808642126349701316554212444736444282115961185056337299, 51545695839974245025200281600763179560995344476158139221102410814940961551359878500091426932391313379404932585809769677554293384096342177850173542831022171658299122295686531122952062850430169760480569317951974740392102649600693622505971363249043698646444846933625180452079256122013970764152908630352293882087
192, 1024, 92267232, 6074019756658668000140178423961160202254297949411856884289, 161437687433028894368209773293627535028474818927600271939907200184371115531582070116884254921945949651945110859245974706534371433935218858962074086039734374897779849271660100943407074535485011801447879984103414878282711211331161316744725029825956451785007412899327993305333675857492997510299586535116396752263, 150355031799745047089279779547913709913875776804619592767498292956537156543134492274246819956417325794947085804910367728445335183629659253358048410913035207515897270372954567950978414348425409670728025813173167195982784503549534264556297368539675809257983582252231247902308369298522281566815827881953276288376
208, 1024, 98497530, 295892428701179580875824874085421387758738879033720317422225187, 104603231891138911746665644635000451642687304395947424919307854817328958435815313061558302123017017477936332048304405615895269745045256189204494569371310883181431306040004577816344210494060212700374560694602212410677361461432839010509566437766777863459660600104623620357982420877841826126301762343360831785867, 51851238961515542492588415000403377460707589642887995567216047666901060590539192492662650218924984054585733944385591158000811623637662354395059749081393853112575143097680316229126245049603754132391741217459958664837516537235073139138695975075460060280033560451648367448805488982589598274896372474346225470532
224, 1024, 98097739, 14904968784543981979557211962424781432034739857319526547497526021757, 113618589281414132317936924337129848180182349443292826999224991758093816660296292287577573292399972811734655824672591966066930941636008742422397631738689735601796407890359392049991620475499509418050499544147260441319768324084610854399011437412193621487564359504883107888038975071375132199410820973418982640341, 19041408728020088520221783806123996471092794989742911619084074455995832604461089464464962358546145456726682288754571794177366646327257396869561062081000359350920220854275272777018222838670484455135675508436573926774763487937370661785518381799492465714988005875660864218461709833964860586869622131198732662621
240, 1024, 102085750, 1565577007973465944553484646994303765015375469072554617350916745573895007, 97580224380883760676808009472734185485924752890144056370182688598750306947080511017534596462217776538705020128739084375579519064326743860464398465764677802350265439768697130236578512714363741126298434546600727530046705985642779617110388988201480621039065289905805408825941460095235462179295484230242785801837, 22842622098371161342518305380486846806917371683405732121675762958145163536515786468480473691270346074802281826422374445066714300485974177066075424541740462063057709281797831097935394578490931986127406311124444879114234504658446427480706560145409510217713541188226732404651781440246725293207196926363721204107
256, 1024, 100184922, 88312951742937461109005655961143185258628806462331638396965593260842450125491, 113695964169677137198735873041015482129626524504357186873053123564495251163169403488710481662825662265011578844072802915219691581331736162704157344110170415164774064172175092045851133540999890236412676393690077352568510007798636791430309152841751346043812974259175237036555915157077484022762073908228920633451, 68747467766826477611953737181287639798643087003828452245553211143678673782749543824083473050979592996406637420382828593422966490922741987217528604385307545545771080685896604406454870062864617163066329987460005172789395755829380103860706083790962527403792890592935869678357243499209651155820102683491940373824
