N, L, Time (ns), Q, P, G
240, 896, 72805401, 998209712750694931823490106466379305965561830143704880420012231503154717, 444559758087857745238140126749370396541232597762307655387071219253350956741305709853159836019981921052859451336680699541903453864494826384227858348421005672875965718931419717411128150938787420437190700615269363370726016230499431144108890166992973878894466196403491341043, 311141909427729422659169247710399944183660383952442897724711158877212793420335951907806151466793401764734586157438198010731587321338944914061075499641927224416873143081441856518637849678347258755443122047119372676271882589719320599854360516051016581826410457475793305388
256, 896, 73152535, 71057732027061279151597051862396837319989275632822980362695197134709365575343, 501778887571017847636109262174058893198088530899990129762313043419855980791662838955863699049611568848150640626732471255106573172513997763605840524086285172759699879909823140474953874989256588918144010443881385502876302099933359267596068781366748663297349238341604910083, 473669045505826398294290728977661061466365958065015369587123377363198339912272193257307564937375932078517068013452071245337601303538834453392914542401116565130666851470185672680341795321132143778852490087747069123692504336869993055441225147884225548911205144920485008984
16, 1024, 70821759, 63761, 173105118043618956060995972509885258849753207008100325386227415743851664622243643317688665509659347516759624693087113356345629368606978141036677567095304446537008384889111475906929010001750728929285520116311657855463871749120550650585252513496349410808785025904505735715374307026606853926241644668608208026187, 10645306476346163907776838526516338422523800724541351367027767836040621799933074439346389099648038371609174053338079148052673622811768576476476870833690861893339826857528740143582512997248873238563305803087978739858117973731423962877820360149778818355497433093873009146739815792955452524312413629639134804593
32, 1024, 74916698, 4012269797, 154051922699955929875051500955155583242672824190287853612401116424135080181738870159214557311462894942264397858601177912243883550432321217275284054260180093454978697795466007507536914586919736774527701139238839736740347734811880459986886463549848664502105933703089902368270239011680062896118570671750387616107, 126202775185569883565127871419670275773209546861379269711180873455712554530802202146414216353955233030791212007865929321721695969269923824002045786546096944259547847557191168775754151490406584629227973513973360761173773544090336667531652233430916991763662259267092062196524553491382827175119301670478258896853
48, 1024, 78118200, 168131934716831, 122450234390682533087697421156217759672051944731012163376596815387984731212286899379406837322715812121447284646217398252436243916553852909425130329370116586609992068085994397734415692096018388295302240724594201662116551327961979445057481325193111166870775471435464503898913541032940124729627297278167087299737, 751587830420267412509783700398259798563399692319598367866261694308588609822626592864711417631499183695030268168736267434060025622506796053148555119683807531917365289649742730630044027307175980953122997318905936759124029421527756561593004078264890625700211216611276911768077998037283419762010189626294507954
64, 1024, 78215596, 11242311239891260241, 149858721323798761234758623605261992121335718797319710820137773337389905310895249181904534059641328356572528065143807439800741644070100608560085838374961013992956088288240738938349938227221616034828380594952309716576595158892407382745580984843123751860639635371607158724723668905874152845716500186613496731379, 68865546365448085971471873169583914668521557820074698717959642528450072795087868762845181285227772017391808331090000013910016163976375364513499453141822688004890304532112904607260949999170986456064151113436466172498001836702619667357649827275198255887768610120559819377369210000253310572051121474390402546593
80, 1024, 82492824, 916579698547890799456799, 143883683038373818139495195042750367593409994930651117300738155483929590405711784918360967193545579523400373018831371594793691402257165906201263041488866637224048342219070453114197698369701245460092183501877247776905896774140636216233002774714557956194115664286838148532060763524782425720224072813546161950863, 57905040433285643804347781966690039397908372397092675022080505179858640210049482982146081077318438868363820647857413336350128284159217549998452000466821281916581517399950767987209029532542857326367773501519935990653031838272566537387681939341269628497290860447988344260669031728748149701373506062442862949929
96, 1024, 82240220, 57497704113948651633629415857, 153405082455270125740822754048776434919431823705266956446094050863769237101249164792634535983483377879564526343056891640750373095110745894004836761030685677995228673098576917672255578446600782523187609718736963044193985861185951967579651579047143295012934023364102286632950430029493281099620884166970572327399, 50071996913558900193970500107279460243281768960773325999246182494591510813900319861304626977434001902853945744376673186089551128259016081962678281644541527935154493251429316193958431124853443388207016451464372016368188104786396514338637805800160309369817054762760546687527196235201922386062937870759085239697
112, 1024, 86111097, 4103232847750167547768120244098603, 117344211689506968779570685144438258126423251454976863860882695977681453687758570730603778545705501110683327498401867930335361153361176375788469485566969936109419282141446587842134183034271952463738130259732760264838112434164718100488839924049728657869929626114209139944543379218133656653589441244301834839069, 66605388474690129691718650689732019182103630987497418614206094971814048927446936929694835051906378153779146933730796096145713779307788221694545315047642027452689090837209817104421080956404087302089129538671196359862114745427381890362831635321332236555209292014093897655198310327377958361544864193953508551985
128, 1024, 86266773, 203026730127461771777888330678378135147, 167984247798043043443097284707812649050677982198555054879831488619919373270324828200101220430465660768011413474632252799071546945626594079018120094239042525674483681922378144397336030401076614839490806490600881126844434708757513356819638919576093292595233823405638741071241642081059622710508593757676045368073, 137057293943524453315881023202994543682443095916078004309963278258135108555270259092082688794946832295364668814984108772505473944960949414564546244063584291254843950148612568205321782280315426225543644532599168561814575276331519638195347086062118995272719974606928360972892911540683258835598186055654777621959
144, 1024, 90249055, 16164207847044090715287084583928215942845533, 139518961376289796136653352458775051980683200923945401584088598213955522162599822148832778327019535121843243867573104071645426815075111552936738328827979731274889534914605157966451135449843186940280915745767241194378165476398100365684087396835990956494520800699198376840010976218018454472100374869785064103363, 56725871826938354249004793466676309385826666743382368099292263378442322734581921342400023226580172504469736284876786726204713159300000258058947095570042785236922613516348333859039155515619914695423493666506784083436213194881443219860804242952093966194304509935125928785599683019220915432706545216501691241842
160, 1024, 88439320, 1230205925996576810628440626147741800350815523813, 130490367407813924616628765770408515876553864323006326033915183662200893912550051494435886496602192676854919564510301663898325139740048276335493819806684370210142267116931152523579690412409879606490746782747395681964208012092968636814880160010023701984218726920264465603128382259088876542507235125583496660883, 37186582562229474974622069272104641398681550183657931175032651603235170767670265486618961595642685316503634681478048418826602124793081723853984173570818871654112266501415143127783781850476778551151032551892694584817279819384066159640467813992625991534554981863106383747124414266744517313082046772489363647283
176, 1024, 94110765, 93300795346368774473439304672792071442893792941953421, 114737769437804573403492227092394119608078499570680858927361154017416778443707329457162474500558417787015819086209384719687982979007401666634872533975281434796054715231771398334290092358366121493040551766053159425952891755820617292604689936768557444249454562771713405067995580772444409835834534248696066965523, 22327383820409490394534953594638185306779129740375730181879951523088855173365620167827721909676736677455296491110482285722746608376864492988916751372453789512271877260252002445776880834979737249373658376294552066585200977575481772285202182640814407042252325934014030943425071473435379860224647487536447329116
192, 1024, 94452118, 3813075675703035631293602289221026351921633890159889934771, 116400929833883962649175745101151936148907413167453055821135218319960913874179480727110114615275296871065375955525979844450872534141339475123300067501089005731486807191205706702987957329542337011252976380334270919511634451951649431271563793375316437639618175962847276224855977769022806899686850172925354538221, 91234435951789625457130194871815660492951848495504891425359532493090214511832682322601276684040175995859721779347262283911859399787627832583858877510347865900384820090907524415285796922517321328661356126791669677998931537442746714468557185728756046591606635446399095285013907606697789938646534365225173952753
208, 1024, 98778879, 306049297472341343973817249161545862547313183418018455993499547, 142563862787571895690318260406415018803218638819568275766912696350839565999385080988244705488749689240498824810293185748765511357799457213357835305094397278124500576431844860212322585861171559856460365692370367686609793615075371980160527429182413288862716064346527112404039620006304303457167811693678226973971, 37028723068025056105917601295252882629943786004647078955894049751620060545532381719004739877850947033859314913513267425163245040476475558505774851683271480513447070013291343344399500572185123139470063856631085438245708094765915080457514588112138497574672405590841207390960699884823539716510627639886268269141
224, 1024, 96320759, 21658471563821485364921316271575747623055451691593404478971817976347, 108318255253338242818147710664460225292786638430890908314733558162529337851889859820829389186205369089194427476862918951656363546127913065682810197339054248128479301031082684653480764606834622578013391785493300552792503822135152014533380864697089579574609637636603474787744921963066050234572414002874233801719, 1514109604177943522834514460224622478083440047714996840174266702115165204790915244263624418373920908126996650868761663180745249734941688303044824749586267343257053738294767929613483317378623563496243773997643205460973135095323162922319886034871388640751923320383838234717242425113899709554683054845025186859
240, 1024, 102264286, 1003322955725507729049958222207651440317987029888969166723121613524759701, 101993609829846696039564314069504742828265116352193976564596314800544288142167340696204187078830859141294006274719757055521804332122096069987814969698945074308908948941438670663903950667028179402777876769463700367912728217802666806451777398956159418243139756267670027580057045299382454160593333746300307580269, 82434660066301640287938774384494244771306408448044444430887722705534818716219252064452960207244798829466671489592936787177761663490174435334098079824755933015335826463130491431140892780468144254009231510013099693805351381804090246566788463259136988957823454101889980149309302851658758541247432848260909815572
256, 1024, 102529129, 64581983638723299727126667338534467884504314268547664645399226539618495731919, 114364430352319327844681217283122890210719069470603767953054163568245411928805682099230904863075327100484928929929189598191506827350518843739077146777010828740160785524539601474084873076784710107875128421786630984187842607227748160701036357905229023769327951111890074675704975196832345881816556236560620470451, 94676537576300027594196234764326260859082372799577319662554226636701770839962192405309382890617675619032089180841823694795961014730253403854368173674510876116440650254417088854008678094602072495153376237638339825739164558369102937759852409008044102712728962199794080444376807569612064945336775891991666473461
